,close,date,high,low,ma10,ma20,ma5,max_close,max_high,max_volume,min_close,min_low,min_volume,open,p_change,price_change,stock_code,turnover,v_ma10,v_ma20,v_ma5,volume
108,34.61,2016-06-15,34.7,33.22,34.809,34.459,34.496,36.55,36.75,39343.18,34.14,33.22,14789.98,33.4,3.13,1.05,002393,1.27,24488.42,20322.63,21148.57,23084.71
88,19.12,2016-05-16,19.12,17.49,19.46,20.11,18.002,19.12,19.55,31783.5,17.22,15.5,11017.58,17.55,10.01,1.74,600421,0.98,21783.32,21262.72,16304.1,19256.05
214,23.98,2016-11-21,24.24,23.1,23.782,22.317,23.614,25.76,26.73,131117.06,22.87,22.49,45907.66,23.1,3.18,0.74,600421,4.07,76015.23,74041.85,60165.89,79657.5
8,9.99,2016-01-14,10.05,9.08,11.548,12.821,10.186,11.76,11.76,380952.38,9.5,9.08,36007.23,9.28,4.06,0.39,002451,2.46,85332.78,105979.09,73963.55,68117.37
37,10.94,2016-03-09,11.1,10.25,10.848,10.831,10.17,10.94,11.1,248721.34,9.57,9.5,71451.41,10.47,8.42,0.85,002451,8.98,129732.09,163769.16,114852.13,248721.34
94,10.81,2016-05-31,10.92,10.25,10.708,11.093,10.562,12.29,12.39,232953.16,10.56,10.25,43289.61,10.25,5.05,0.52,002451,2.35,42771.56,73493.24,39571.74,64966.81
248,14.01,2017-01-18,14.15,13.53,14.99,15.373,13.974,18.35,18.35,433377.12,14.01,13.53,24.0,13.55,2.86,0.39,002451,1.59,104180.16,113409.03,80342.58,65442.04
87,9.78,2017-01-17,9.83,9.46,10.49,10.745,10.106,9.91,10.9,70754.34,9.55,8.92,53.0,9.63,0.82,0.08,002807,3.1,56829.46,64547.62,62683.77,64891.54
19,20.86,2016-01-29,21.19,19.76,22.751,23.794,21.532,24.38,24.73,63036.95,20.46,19.76,11896.5,19.9,5.25,1.04,300475,3.47,22328.68,24967.14,17875.64,17342.01
142,24.84,2016-08-02,24.86,24.4,25.951,26.749,24.992,25.58,25.69,22721.25,24.67,24.29,9700.18,24.46,1.59,0.39,300475,2.02,24177.42,29547.25,21582.85,12391.52
252,23.05,2017-01-17,23.3,22.35,24.76,25.069,23.902,24.14,24.42,12639.99,23.05,22.35,1.0,22.76,1.81,0.41,300475,1.77,9013.97,8271.74,10065.83,10854.01
107,8.81,2016-06-14,8.86,8.7,9.073,8.936,9.036,9.2,9.38,150594.06,8.81,8.7,24231.36,8.7,0.11,0.01,600508,0.34,48319.78,40206.87,33847.71,24231.36
254,10.59,2017-01-17,10.61,10.35,10.923,10.862,10.742,11.23,11.37,103199.46,10.54,10.35,26014.3,10.42,0.86,0.09,600508,0.48,54369.33,47246.52,45406.74,34591.86
8,13.8,2016-01-14,14.18,12.03,15.99,17.139,14.238,13.92,14.32,82768.93,11.72,11.32,28645.15,12.5,3.76,0.5,002591,3.73,48529.3,56168.74,51656.48,56249.95
